,id,content,name,subject,date,image_url,material,origin
0,5046,Fragmentary Contract,p.dura.34,Vertrag Land (?) unbestimmbar,Sept. - Nov. 116 v.Chr. (Monat unsicher),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100110000,Pergament,Dura - Europos
1,27078,Official Letter (?),p.dura.45,Brief? (amtlich) Besuch (königlich),II - III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400010000,Papyrus,Dura - Europos
2,17222,Deed of Sale,p.dura.25,Vertrag Kauf Sklave Weingarten (Teil) Erbschaft,17. Febr. 180,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100230000,Pergament,Dura - Europos
3,30495,Fragmentary Contract,p.dura.41,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401200000,Papyrus,Dura - Europos
4,30502,Fragmentary List of Names (?),p.dura.51,Liste (?) Namen (?),III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400860000,Papyrus,Dura - Europos
5,30503,Fragmentary Account,p.dura.52,Abrechnung Namen Geld,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400790000,Papyrus,Dura - Europos
6,30504,Greek Fragments,p.dura.137,Militär (?),III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400654200,Papyrus,Dura - Europos
7,30505,Greek Fragments,p.dura.144,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401170000,Papyrus,Dura - Europos
8,30507,Greek Fragment,p.dura.147,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400770000,Papyrus,Dura - Europos
9,30508,Greek Fragment,p.dura.148,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400810000,Papyrus,Dura - Europos
10,30509,Greek Fragments,p.dura.149,unbestimmbar,frühes III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401150000,Papyrus,Dura - Europos
11,30510,Greek Fragments,p.dura.150,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400970000,Papyrus,Dura - Europos
12,78866,Names,rom.mil.rec.1.134,Fragmente Liste ? Namen,III,,Papyrus,Dura - Europos
13,832321,Roster?,basp;56;100,Fragment Dienstplan (?) Militär (?),200 - 230,http://hdl.handle.net/10079/digcoll/2771868,papyrus,Dura - Europos
14,832322,P.CtYBR inv. DP 23 fr. a,basp;56;100_1,Armee,200 - 256,,Papyrus,Dura - Europos
15,832323,P.CtYBR inv. DP 23 fr. b,basp;56;101_2,Armee,200 - 256,,Papyrus,Dura - Europos
16,832324,P.CtYBR inv. DP 23 fr. h,basp;56;101_3,Armee,200 - 256,,Papyrus,Dura - Europos
17,832325,Roster?,basp;56;103_4,Fragment Dienstplan (?) Militär (?),200 - 230,,papyrus,Dura - Europos
18,832327,keiner,basp;56;103_6,Fragment,200 - 230,,papyrus,Dura - Europos
19,832328,keiner,basp;56;104_7,Fragment,200 - 230,,papyrus,Dura - Europos
20,832329,keiner,basp;56;105_8,Fragment,200 - 230,,papyrus,Dura - Europos
21,832330,Acta diurna?,basp;56;107_9,Fragment Truppentagebuch Militär (?),200 - 230,,papyrus,Dura - Europos
22,832331,keiner,basp;56;108_10,Fragment,200 - 225,,papyrus,Dura - Europos
23,832332,keiner,basp;56;108_11,Fragment,200 - 230,,papyrus,Dura - Europos
24,832333,keiner,basp;56;109_12,Fragment,200 - 230,,papyrus,Dura - Europos
25,832334,keiner,basp;56;109_13,Fragment,200 - 230,,papyrus,Dura - Europos
26,832335,keiner,basp;56;110_14,Fragment Militär (?),200 - 230,,papyrus,Dura - Europos
27,832336,Roster?,basp;56;111_15,Fragment Dienstplan (?) Militär (?),200 - 230,,papyrus,Dura - Europos
28,832338,Acta diurna?,basp;56;114_17,Fragment Truppentagebuch Militär (?),200 - 230,,papyrus,Dura - Europos
29,17228,Divorce,p.dura.31,Vertrag Scheidung,18. Juni 204,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100220000,Pergament,Ossa (in der Nähe von Dura - Europos)
30,44835,List of Cavalrymen,p.dura.103,Liste Namen Soldaten Reiter,205 - 224,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400384100,Papyrus,Dura - Europos
31,44846,List of Names,p.dura.114,Liste Namen,207 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400634100,Papyrus,Dura - Europos
